Representation,Algorithm,CV Acc (Mean),CV Acc (SD),CV F1,CV AUC,Test Acc,Test F1,Test AUC
TF-IDF,Naive Bayes,0.7052884615384616,0.025262124337345496,0.6802539213880007,0.7757026627218935,0.698076923076923,0.6878727634194831,0.7814349112426036
TF-IDF+SVD,Naive Bayes,0.6480769230769231,0.04095296045970549,0.6552692431217142,0.7052422337278106,0.5865384615384616,0.7034482758620689,0.7424852071005916
Word2Vec,Naive Bayes,0.6567307692307692,0.0352768006304695,0.6197790583836197,0.7197670118343196,0.6923076923076923,0.6761133603238867,0.7642677514792899
TF-IDF,SVM,0.7129807692307693,0.02828378092323602,0.714175283857297,0.7801127958579881,0.6807692307692308,0.6867924528301886,0.7620562130177515
TF-IDF+SVD,SVM,0.7038461538461539,0.02277446015832118,0.7082679448246345,0.7826183431952662,0.7,0.7337883959044369,0.7746079881656804
Word2Vec,SVM,0.7000000000000001,0.032265311029927926,0.6915973207824868,0.7631286982248521,0.7153846153846154,0.7218045112781954,0.7831213017751479
TF-IDF,Random Forest,0.6889423076923078,0.031821693737255595,0.6734267077166753,0.7667529585798817,0.6653846153846154,0.6627906976744186,0.7515236686390532
TF-IDF+SVD,Random Forest,0.6889423076923078,0.020402976128772073,0.6804551903480002,0.7540310650887574,0.676923076923077,0.711340206185567,0.7525887573964497
Word2Vec,Random Forest,0.6850961538461539,0.024912012323137733,0.6785134939590092,0.7620053624260354,0.6903846153846154,0.6944971537001897,0.7655473372781064
